id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_w,call_ratio,cores_ord,speed_ord,wifi_ord,sim_ord,LCD,Touch,bluetooth_bin
22,1949,0.3,199,407,822,1433,11,5,20,No,2,quad,high,Dual,4.0,7.0,46.1884765625,LCD,b,688.74,334554,417.6,97.45,4,3,1,2,1,0,0
23,1602,0.7,114,466,788,1037,8,7,20,Yes,4,triple,high,Dual,4.0,20.0,37.5361328125,LCD,none,750.91,367208,285.9,80.1,3,3,-1,2,1,0,1
24,503,0.4,111,201,1245,2583,11,0,12,No,4,triple,medium,Dual,5.0,13.0,8.232421875,LCD,none,920.94,250245,inf,41.916666666666664,3,2,-1,2,1,0,0
25,961,0.6,114,291,1434,2782,18,9,7,Yes,4,octa,medium,Dual,,3.0,56.056640625,Touch,a,817.72,417294,404.7,137.28571428571428,8,2,2,2,0,1,1
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,50.4443359375,LCD,b,495.2,354750,1638.3,129.75,4,2,1,2,1,0,1
27,956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,40.708984375,Touch,none,992.21,549325,341.3,79.66666666666667,7,1,-1,1,0,1,0
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,51.240234375,Touch,n,926.26,245157,3329.9,145.3,2,2,4,2,0,1,0
29,851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21.0283203125,LCD,b,584.54,1478973,458.3,85.1,5,1,1,1,1,0,0
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,,9.0,5.078125,LCD,a,1272.59,2361562,401.6,131.58333333333334,7,1,2,2,1,0,1
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,32.7998046875,Touch,a,665.32,270102,1661.2,261.3333333333333,8,1,2,1,0,1,1
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,40.7431640625,Touch,b,1053.05,97920,585.2,439.6666666666667,1,1,1,1,0,1,1
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,,,50.7451171875,Touch,none,1029.02,341582,inf,109.16666666666667,4,2,-1,2,0,1,1
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,,3.0,22.1982421875,LCD,none,595.36,273991,2237.7,42.93333333333333,8,3,-1,1,1,0,1
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,59.0302734375,LCD,none,921.33,1416366,793.1,48.333333333333336,8,2,-1,2,1,0,0
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,60.287109375,LCD,g,750.85,349635,295.7,294.5,4,3,3,2,1,0,1
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6.6337890625,Touch,none,1182.72,795963,664.0,431.25,2,2,-1,2,0,1,1
38,790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11.630859375,LCD,n,1238.51,253310,1854.2,395.0,6,2,4,2,1,0,0
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,49.572265625,Touch,none,776.5,2335624,341.4,50.90909090909091,2,1,-1,2,0,1,0
40,1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,43.5146484375,LCD,a,819.01,419678,1228.1,122.45454545454545,1,3,2,1,1,0,0
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,40.486328125,Touch,none,1042.93,3332700,490.7,86.63157894736842,2,3,-1,1,0,1,1
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5.154296875,Touch,none,901.67,489090,inf,313.25,2,1,-1,2,0,1,1
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,33.8154296875,Touch,none,763.26,1281280,308.2,118.28571428571429,3,2,-1,1,0,1,0
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20.08984375,Touch,none,946.17,2610160,1398.7,99.58333333333333,2,3,-1,1,0,1,1
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,,1.0,26.91796875,Touch,a,687.51,336660,1532.5,75.7,3,3,2,1,0,1,0
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,41.529296875,LCD,none,563.23,361782,909.8,574.3333333333334,8,2,-1,2,1,0,1
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,39.357421875,LCD,b,685.21,20898,163.8,87.83333333333333,7,2,1,2,1,0,1
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,56.294921875,LCD,g,873.76,1468825,1213.3,115.6,8,3,3,2,1,0,1
49,596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,63.3310546875,LCD,none,767.66,1640790,362.2,59.6,8,2,-1,2,1,0,0
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,13.9794921875,LCD,g,1124.21,1908944,inf,103.13333333333334,3,3,3,2,1,0,1
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,61.9658203125,Touch,none,1039.02,1911306,292.7,110.0,8,2,-1,2,0,1,0
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,,,42.7216796875,Touch,none,985.03,343434,319.5,165.4,2,2,-1,2,0,1,1
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,15.77734375,LCD,n,882.89,1303731,408.6,121.41666666666667,3,2,4,2,1,0,0
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,,,50.31640625,Touch,none,728.95,554760,inf,59.611111111111114,7,1,-1,2,0,1,1
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,44.9951171875,LCD,none,885.11,691012,375.9,148.92307692307693,3,2,-1,2,1,0,0
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,59.208984375,Touch,b,678.04,1191078,334.6,48.411764705882355,8,3,1,2,0,1,1
57,987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,,9.0,59.7216796875,LCD,g,1148.18,476420,520.7,49.35,3,2,3,2,1,0,0
58,1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,48.240234375,LCD,none,727.74,188945,362.2,439.25,6,1,-1,1,1,0,0
59,1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,47.3486328125,Touch,n,1061.5,86741,133.4,118.11111111111111,5,2,4,2,0,1,0
60,1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12.4208984375,Touch,none,564.65,887604,615.3,74.2,3,3,-1,1,0,1,0
61,799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,61.8154296875,Touch,a,667.36,351975,412.8,133.16666666666666,8,3,2,1,0,1,1
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,,,49.4267578125,Touch,none,626.46,176134,inf,77.06666666666666,2,2,-1,2,0,1,1
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,54.2109375,Touch,n,913.26,1018809,1718.3,344.0,2,2,4,1,0,1,0
64,702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9.3095703125,LCD,none,919.42,791280,997.0,36.94736842105263,3,3,-1,2,1,0,0
65,616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,43.357421875,Touch,none,1072.8,1053318,513.7,47.38461538461539,3,2,-1,2,0,1,0
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,35.5576171875,Touch,none,1260.25,2907770,1179.8,339.5,4,1,-1,1,0,1,1
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,,,30.119140625,LCD,none,1404.31,192348,411.2,233.25,3,2,-1,1,1,0,0
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,,1.0,9.9755859375,LCD,b,519.08,562275,3111.5,310.5,2,2,1,2,1,0,0
69,1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,,1.0,42.298828125,Touch,none,992.05,123615,1531.6,166.57142857142858,4,2,-1,2,0,1,0
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,44.75390625,Touch,a,852.63,982680,398.1,724.0,7,1,2,2,0,1,1
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,21.7734375,LCD,b,816.15,1426324,441.6,108.23076923076923,4,3,1,1,1,0,1
72,605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9.390625,LCD,none,610.98,164160,434.3,151.25,3,2,-1,1,1,0,0
73,1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,42.2470703125,Touch,a,909.34,2552,inf,86.5,1,2,2,1,0,1,0
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,37.7060546875,Touch,none,488.27,1078119,1794.5,132.83333333333334,4,3,-1,2,0,1,1
75,819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,41.912109375,LCD,g,854.28,421038,788.7,63.0,6,1,3,2,1,0,0
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9.134765625,Touch,none,732.31,1113840,388.6,65.52941176470588,3,3,-1,1,0,1,0
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,32.6396484375,LCD,a,504.69,129148,282.3,205.66666666666666,1,2,2,2,1,0,1
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16.087890625,LCD,a,1140.04,1812736,303.2,119.9,4,3,2,2,1,0,1
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,28.6484375,Touch,b,738.2,1471140,539.2,68.9375,6,2,1,2,0,1,0
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,,7.0,57.26953125,Touch,a,1475.94,384714,306.3,264.8333333333333,7,1,2,2,0,1,1
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,62.9921875,Touch,none,893.03,2257552,373.1,62.4375,4,3,-1,2,0,1,0
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,45.0625,Touch,a,990.07,1240416,741.7,137.27272727272728,5,1,2,2,0,1,1
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,59.896484375,LCD,none,747.7,1208394,950.0,91.63636363636364,3,1,-1,1,1,0,0
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,55.8759765625,Touch,g,961.45,973472,532.9,66.29411764705883,1,3,3,2,0,1,1
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,24.8232421875,LCD,b,486.64,977304,534.5,353.0,8,3,1,1,1,0,1
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,41.1484375,Touch,b,546.15,71136,inf,213.71428571428572,5,2,1,2,0,1,1
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,63.0654296875,LCD,none,1233.65,1145950,946.6,270.75,3,3,-1,2,1,0,1
88,668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,,13.0,3.4609375,Touch,b,625.74,801198,611.1,83.5,5,1,1,2,0,1,0
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,,14.0,33.076171875,LCD,g,701.21,780914,3561.1,119.0,4,2,3,2,1,0,0
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,56.0185546875,Touch,none,1187.36,3088020,1629.0,107.75,3,2,-1,2,0,1,0
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,53.1865234375,Touch,none,1134.36,1522692,450.7,141.21428571428572,7,2,-1,2,0,1,1
92,885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,,,14.927734375,Touch,n,804.03,616738,203.7,177.0,7,3,4,2,0,1,0
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14.4609375,LCD,b,734.31,445315,280.7,439.5,6,3,1,1,1,0,1
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7.65234375,Touch,none,779.11,352230,297.3,110.16666666666667,3,2,-1,2,0,1,0
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7.591796875,Touch,g,992.89,1110618,598.9,94.75,3,2,3,1,0,1,1
96,1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,22.607421875,Touch,none,790.28,580041,565.8,169.375,5,3,-1,1,0,1,0
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,59.494140625,LCD,none,1178.81,2647248,251.6,118.92857142857143,6,1,-1,1,1,0,1
98,657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,,1.0,36.720703125,Touch,none,457.76,457436,813.6,36.5,2,3,-1,1,0,1,0
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,30.7705078125,LCD,none,794.59,1623861,1672.6,84.71428571428571,7,1,-1,1,1,0,0
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,10.8095703125,LCD,none,1111.33,1453804,552.1,94.15,6,1,-1,1,1,0,1
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12.1494140625,LCD,a,876.95,725944,319.7,157.45454545454547,8,2,2,1,1,0,1
102,543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,,4.0,56.568359375,LCD,none,755.06,384744,178.5,36.2,5,1,-1,1,1,0,0
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,,10.0,54.3271484375,Touch,none,994.14,166400,132.1,107.72222222222223,4,3,-1,2,0,1,1
104,553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8.0712890625,Touch,b,627.66,293150,572.8,69.125,7,3,1,2,0,1,0
105,832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,38.75,LCD,n,878.6,188000,1910.1,75.63636363636364,4,1,4,2,1,0,0
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23.3349609375,Touch,a,918.95,1382364,691.7,151.0,5,2,2,2,0,1,0
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,41.3955078125,LCD,none,1086.69,3178920,4561.8,118.35714285714286,5,3,-1,1,1,0,1
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,,4.0,45.2744140625,Touch,g,1226.18,540878,275.8,126.11111111111111,1,2,3,2,0,1,1
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,40.55859375,Touch,b,991.36,3052077,365.2,126.78571428571429,1,2,1,1,0,1,1
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,,4.0,42.5888671875,Touch,none,949.02,1762258,934.1,43.5,3,2,-1,2,0,1,0
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,,20.0,31.767578125,LCD,none,687.37,671232,170.8,88.14285714285714,7,3,-1,1,1,0,1
112,867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,,1.0,4.58984375,Touch,none,661.74,138180,835.7,289.0,6,2,-1,2,0,1,0
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7.3466796875,Touch,none,836.94,60021,325.8,262.0,5,2,-1,2,0,1,1
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22.04296875,LCD,g,874.33,1440552,3159.8,90.2,7,1,3,1,1,0,0
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18.1826171875,Touch,b,1297.15,1752355,4218.9,146.15384615384616,7,3,1,1,0,1,1
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,,,52.359375,LCD,none,868.6,617855,274.6,227.25,8,2,-1,1,1,0,1
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,39.642578125,Touch,none,789.15,248262,489.6,108.4,3,3,-1,1,0,1,1
118,1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,45.2236328125,Touch,none,441.19,271975,837.4,145.33333333333334,1,2,-1,2,0,1,0
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,,,15.44140625,LCD,none,1028.68,2823530,inf,127.0,3,1,-1,1,1,0,0
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10.05859375,Touch,none,792.04,735900,377.6,283.5,8,2,-1,2,0,1,1
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10.2392578125,Touch,none,1104.95,2126304,395.3,193.0,4,3,-1,2,0,1,1
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,51.638671875,Touch,none,769.71,515211,548.0,137.5,3,1,-1,2,0,1,1
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36.0751953125,Touch,a,1124.46,740288,873.8,81.11764705882354,2,2,2,1,0,1,0
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25.0830078125,LCD,none,739.5,70977,611.1,77.73333333333333,5,2,-1,1,1,0,0
125,1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16.2958984375,LCD,a,709.62,738738,163.6,184.33333333333334,1,3,2,1,1,0,0
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,,1.0,57.10546875,LCD,a,792.55,140694,665.5,45.888888888888886,4,3,2,2,1,0,1
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,24.66796875,Touch,n,783.0,2473935,1247.8,223.42857142857142,6,3,4,1,0,1,0
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,30.814453125,LCD,n,854.36,685872,inf,279.57142857142856,3,1,4,2,1,0,0
129,1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,,1.0,19.55859375,Touch,none,817.21,996774,355.1,120.84615384615384,6,2,-1,1,0,1,0
130,1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,53.7421875,LCD,g,1173.98,217198,300.8,202.0,7,2,3,2,1,0,0
131,1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2.220703125,Touch,a,700.13,492624,inf,89.5,1,3,2,2,0,1,0
132,645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,40.458984375,Touch,b,570.95,189660,163.7,161.25,7,1,1,1,0,1,0
133,668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,29.5283203125,Touch,g,779.64,551232,536.4,95.42857142857143,8,3,3,2,0,1,0
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,35.3466796875,LCD,none,748.99,395632,401.3,82.6,4,2,-1,2,1,0,1
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,,,15.8857421875,LCD,g,915.55,282048,1056.6,134.77777777777777,5,1,3,1,1,0,1
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,,8.0,21.828125,LCD,none,839.85,404745,424.8,318.0,6,3,-1,2,1,0,1
137,866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,45.30859375,Touch,n,934.12,1166712,389.3,433.0,8,1,4,2,0,1,0
138,536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3.4775390625,Touch,none,676.17,2133054,434.3,134.0,7,3,-1,2,0,1,0
139,523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14.0068359375,Touch,none,572.78,316768,2646.7,58.111111111111114,8,3,-1,2,0,1,0
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,,18.0,31.1650390625,LCD,g,1129.62,3062340,inf,103.11764705882354,1,1,3,2,1,0,0
141,1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14.33203125,LCD,none,639.66,141064,inf,243.6,3,2,-1,2,1,0,0
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,42.31640625,Touch,n,1116.11,948909,169.0,90.41176470588235,1,3,4,1,0,1,1
143,786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,,6.0,32.8720703125,LCD,a,779.76,860379,391.9,157.2,7,2,2,2,1,0,0
144,1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,62.9814453125,Touch,none,815.16,233696,inf,167.8,3,2,-1,1,0,1,0
145,1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9.2861328125,LCD,none,1164.8,594216,166.4,113.375,2,2,-1,2,1,0,0
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,,7.0,30.755859375,Touch,b,588.16,491103,537.2,57.94736842105263,2,2,1,1,0,1,0
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,39.4697265625,LCD,none,1202.09,1641970,3296.9,365.25,7,3,-1,2,1,0,0
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,46.2587890625,Touch,n,739.1,3642884,999.2,304.0,3,3,4,1,0,1,0
149,506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,40.546875,LCD,none,848.12,896875,260.4,33.733333333333334,1,2,-1,1,1,0,0
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,54.7587890625,Touch,b,593.79,112000,2032.0,42.15,5,1,1,1,0,1,1
151,742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,55.041015625,Touch,b,662.44,784143,313.8,61.833333333333336,7,2,1,2,0,1,0
